"SENTENCES","LABELS"
"RT @IdolStages: David Archuleta & Demi Lovato final show tonight! Atlantic City NJ http://bit.ly/qlIqY (via @AnnieDAFG)","English"
"Galiyon Galiyon","Hindi"
"I favorited a YouTube video -- Information Overload http://bit.ly/1OMjfn","English"
"Hum Matawale Naujawan","Hindi"
"hahaha RT @Niffavalov: Haha bego aaaah hahaRT @phejonk: drpd gw ERWEin?? bingung lo nti.. hahaha","English"
"paris... somebody book me to dj or host before the 19th. i'll be in London and i wana travel. actually anywhere in europe. POLAND!!!","English"
"usaka ek bada-sa raajy tha.","Hindi"
"Knit Amigurumi Sea Creatures http://bit.ly/3u7qGt","English"
"RT @SwaggerSplash just come back from eating with @Wauren and my big bro D good times hold your head up D! << Always gd tyms with D!","English"
"Sudah selesaaaai -______-RT @auuudy: -__________________- RT @yassmaine: Ck bokap sholat dlu... -_______________-","English"
"I have had 3 conversations about running Mac Mini's as media centre's so far this morning, i think i'm starting a trend","English"
"she tells me to call her later and then refuses to pick up. :/ im used to being ignored but when its her, its a million times worse","English"
"Oonhay jo kuch milta tha, usse aapus mein baantkar khaya karti thee.","Hindi"
"will i love movies, i have a 200 Gb movies, TV Shows, stand up comedies and documentaries library... i love documentaries the most","English"
"Screw @maartenkes. Beetje een horken-reactie van hem... Veel sterkte in ieder geval!! RT @vincente: @maartenkes misplaatst?","English"
"Hal Chal Thik Thak Hai","Hindi"
"Follow me and my gadgets on @gdgt: http://user.gdgt.com/montego335xi/","English"
"Sydney: People who default on their mortgage payments will almost double from 25,000 today to 40,000 by the end of 2010 http://tiny.cc/wMUB5","English"
"my heart is racin'","English"
"http://twitpic.com/nwevf - homecoming dance this was fun i went with my friends","English"
"Mmm super burrito","English"
"RT @boingboing Feature documentary film about psychedelics - Boing Boing http://bit.ly/7UVhR","English"
"yaampun mati mulu dahh hapenya","English"
"has iced the sugar cookie pumpkins and gangrenous feet, and is handing out candy to adorable wee goblins. So sweet! All of it.","English"
"Ye uske liye jo #UPElection2017 jitega, kyuki holi vhi celebrate krega n.","Hindi"
"RT @thisis50 Meet 11 Year Old Kordeza Zhelyazkova....The World's Youngest Mother! http://bit.ly/3Y0bLc <---#shitreal man smh...","English"
"Sonu Nigam ke liye Sonu Sood ko gaaliya padi. Snapchat ke liye Snapdeal ko. Moody's ke liye Tom Moody ko.","Hindi"
"RT @youngwayne00: @msrai21 Dragonfly or shrine or the elastic arts gallery","English"
"RT @danwhnt: Oooh! New Doctor Who Logo- http://bit.ly/4dhcIL || cc: @txvoodoo @thermidor9 and all other fans ;)","English"
"RT @vcaremkt: @pannitap U R Amazing 555+ / Cash or Finance ... < wait for me i'll hav to teach 100 more years lolz","English"
"right now im in sociology of the family but i call it fake baby class cuz well you have to be here to know why i call it that","English"
"How to use email newsletters to drive traffic and make money http://bit.ly/top8o","English"
"OKUHARA ke naam me hi HARA hai. #BWF2017 #PVSindhu","Hindi"
"Things I'm over... What happens to me","English"
"Sarkari hospital ya bahut achche ho sirji ya private hospital mai ilaz sasta ho jaye ilaz aam aadmi ko kaafi mahnga pdta hai","Hindi"
"Well said Shatru Sir bagawat har kisi ke bas ki baat nahi ..!  Shukriya khamoshi todne ke liye .. #MannKiBaat","Hindi"
"Muh kholte hi usske muh ki roti nadi ke jal mein gir kar bah gayi aur lalchi kutta bhooka rah gaya.","Hindi"
"I can't go to my own high school graduation.","English"
"RT @BigBassFishing Phillips Rode Flipping Bite To Victory At Harris Chain http://tinyurl.com/yaond5o","English"
"lol your a bloody dumb fuck. =)","English"
"http://bit.ly/2uy5In | Hetengel : i get excited when a man show me how hot can he be!. #Xcams Where fantasy comes to live!","English"
"pottering around waiting for the plumber to arrive (nearly there!), and playing with Windows Media Center / Xbox integration...","English"
"Imma Miss My BooBooKitty!!! Eventhough my MySpace status has said ""Single"" since I had da page!","English"
"Rephrase: Is Media Temple having down time issues today? Can't access my sites.","English"
"It is more blessed to give than to receive. Acts 20:35 #jesustweeters","English"
"Halloween as Jerome Dillon: http://tinyurl.com/hw10312009","English"
"Modiji aapane wakahime manki bat ye bohot accha program shuru karwayahe lekin kya aap sabke man ki bat jan pate he","Hindi"
"Hariyana mein ek din mein  teen rape  khattar  baba so rhe hai  aur #DALALMEDIA  modi ki jhappi per  debate  kar rhe hai ye hai inka beti  bacchao abhiyan. Nirbhaya Again!","Hindi"
"Mitron :- Barish mumbai main hui par dukh pure hindustan ko hua, picture bani mumbai main par release pure Hindustan main..","Hindi"
"Patwariyon ka aj pura hi balatkaar kardiya Supreme Court ne. #JeetGyaKaptaan @pmln_org","Hindi"
"Welcome ,Maya, enjoy ur journey :) RT @SanaTawileh Welcome to Twitterland Maya! RT @sdarine GUYS plz welcome @mayouchkas to Twitter","English"
"Jus got my blackberry working http://myloc.me/1iu0e","English"
"Ghere Halke Halke Ghere","Hindi"
"ProFootballTalk: Delhomme taken to hospital but ""everything is good"" http://is.gd/4KAz6","English"
"RT @BoukeHaarsma: Completed my first blog entry: ""Optimizing SELECT * FROM with mysql_field_table()"" - http://bit.ly/IabNq","English"
"From TechEBlog: The (Un)smart Way to Park a Smart Car http://bit.ly/Ha8eF","English"
"Hey Babu Yeh hai Jamana","Hindi"
"Ultra HD 4 -16 times blu ray to come between 2017 and 2022 http://bit.ly/4euiRz","English"
"Har cheez ke liye Sarkar Doshi nahi hoti hai..kuch cheezon ke liye Bus aur Car bhi doshi hoti hai","Hindi"
"RT @JavaFree: PapÃƒÆ’Ã‚Â©is de parede com calendÃƒÆ’Ã‚Â¡rio: Novembro de 2009 http://bit.ly/tWD1M","English"
"I just flipped over my desk because I was so pumped up from this Cities. Phish rage #f8 #phish #fest8","English"
"Snowflakes fall Up North: It's snowing, but not sticking, Up North today, and forecasters don't expect any of t.. http://bit.ly/3nKHN5","English"
